policy_name,pd_min,pd_max,requested_amount_min,requested_amount_max,preapproved_product,approval_rate,learning_population,term,guarantee,interest_rate,product,Addiflex Version,,,,,,
addipago_interest_policy_standard_PLA_sec,1.4900%,2.1300%,"$50,000.00","$150,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,1.4900%,2.1300%,"$150,001.00","$400,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,1.4900%,2.1300%,"$400,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,2.1300%,51.0600%,"$50,000.00","$100,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,2.1300%,51.0600%,"$100,001.00","$200,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,2.1300%,51.0600%,"$200,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,51.0600%,100.0000%,"$50,000.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0000%,100.0000%,$0.00,"$50,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0000%,0.0100%,"$50,000.00","$900,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0000%,0.0100%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0100%,0.4200%,"$50,000.00","$900,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0100%,0.4200%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.4200%,0.5300%,"$50,000.00","$600,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.4200%,0.5300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.5300%,0.7300%,"$50,000.00","$400,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.5300%,0.7300%,"$400,001.00","$600,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.5300%,0.7300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.7300%,0.8600%,"$50,000.00","$150,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.7300%,0.8600%,"$150,001.00","$600,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.7300%,0.8600%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.8600%,1.4900%,"$50,000.00","$150,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.8600%,1.4900%,"$150,001.00","$500,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.8600%,1.4900%,"$500,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,1.4900%,2.1300%,"$50,000.00","$150,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,1.4900%,2.1300%,"$150,001.00","$400,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,1.4900%,2.1300%,"$400,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,2.1300%,51.0600%,"$50,000.00","$100,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,2.1300%,51.0600%,"$100,001.00","$200,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,2.1300%,51.0600%,"$200,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,51.0600%,100.0000%,"$50,000.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0000%,100.0000%,$0.00,"$50,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0000%,0.0100%,"$50,000.00","$900,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0000%,0.0100%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0100%,0.4200%,"$50,000.00","$900,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.0100%,0.4200%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.4200%,0.5300%,"$50,000.00","$600,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.4200%,0.5300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.5300%,0.7300%,"$50,000.00","$400,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.5300%,0.7300%,"$400,001.00","$600,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.5300%,0.7300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.7300%,0.8600%,"$50,000.00","$150,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.7300%,0.8600%,"$150,001.00","$600,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.7300%,0.8600%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.8600%,1.4900%,"$50,000.00","$150,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.8600%,1.4900%,"$150,001.00","$500,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,0.8600%,1.4900%,"$500,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,1.4900%,2.1300%,"$50,000.00","$150,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,1.4900%,2.1300%,"$150,001.00","$400,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,1.4900%,2.1300%,"$400,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,2.1300%,51.0600%,"$50,000.00","$100,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,2.1300%,51.0600%,"$100,001.00","$200,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,2.1300%,51.0600%,"$200,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_standard_PLA_sec,51.0600%,100.0000%,"$50,000.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,100.0000%,$0.00,"$50,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$50,000.00","$900,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$50,000.00","$900,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$50,000.00","$600,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$50,000.00","$400,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$400,001.00","$600,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$50,000.00","$150,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$150,001.00","$600,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$50,000.00","$150,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$150,001.00","$600,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$50,000.00","$150,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$150,001.00","$400,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$400,001.00","$20,000,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$50,000.00","$100,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$100,001.00","$200,001.00",,100.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$200,001.00","$20,000,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,51.0600%,100.0000%,"$50,000.00","$20,000,000.00",,0.00%,FALSE,1,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,100.0000%,$0.00,"$50,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$50,000.00","$900,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$50,000.00","$900,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$50,000.00","$600,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$50,000.00","$400,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$400,001.00","$600,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$50,000.00","$150,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$150,001.00","$600,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$50,000.00","$150,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$150,001.00","$600,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$50,000.00","$150,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$150,001.00","$400,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$400,001.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$50,000.00","$100,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$100,001.00","$200,001.00",,100.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$200,001.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,51.0600%,100.0000%,"$50,000.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,100.0000%,$0.00,"$50,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$50,000.00","$900,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$50,000.00","$900,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$50,000.00","$600,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$50,000.00","$400,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$400,001.00","$600,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$50,000.00","$150,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$150,001.00","$600,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$50,000.00","$150,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$150,001.00","$600,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$50,000.00","$150,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$150,001.00","$400,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$400,001.00","$20,000,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$50,000.00","$100,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$100,001.00","$200,001.00",,100.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$200,001.00","$20,000,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,51.0600%,100.0000%,"$50,000.00","$20,000,000.00",,0.00%,FALSE,3,0.00%,0.00%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,100.0000%,$0.00,"$50,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$50,000.00","$900,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$50,000.00","$900,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$50,000.00","$600,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$50,000.00","$400,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$400,001.00","$600,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$50,000.00","$150,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$150,001.00","$600,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$50,000.00","$150,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$150,001.00","$600,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$50,000.00","$150,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$150,001.00","$400,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$400,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$50,000.00","$100,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$100,001.00","$200,001.00",,100.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$200,001.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,51.0600%,100.0000%,"$50,000.00","$20,000,000.00",,0.00%,FALSE,4,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,100.0000%,$0.00,"$50,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$50,000.00","$900,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$50,000.00","$900,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$50,000.00","$600,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$50,000.00","$400,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$400,001.00","$600,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$50,000.00","$150,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$150,001.00","$600,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.7300%,0.8600%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$50,000.00","$150,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$150,001.00","$600,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.8600%,1.4900%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$50,000.00","$150,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$150,001.00","$400,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,1.4900%,2.1300%,"$400,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$50,000.00","$100,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$100,001.00","$200,001.00",,100.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,2.1300%,51.0600%,"$200,001.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,51.0600%,100.0000%,"$50,000.00","$20,000,000.00",,0.00%,FALSE,5,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,100.0000%,$0.00,"$50,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$50,000.00","$900,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0000%,0.0100%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$50,000.00","$900,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.0100%,0.4200%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$50,000.00","$600,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.4200%,0.5300%,"$600,001.00","$20,000,000.00",,0.00%,FALSE,6,0.00%,99.99%,,,,,,,,
addipago_interest_policy_tech_PLA_sec,0.5300%,0.7300%,"$50,000.00","$400,001.00",,100.00%,FALSE,6,0.00%,99.99%,,,,,,,,
